Type_Of_Traveller,Seat_Type,Route,Date_Flown,Seat_Comfort,Staff_Service,F&B,Inflight_Entertainment,Ground_Service,Value_For_Money,Recommended,Airlines,Start_point,End_point
Couple Leisure,Economy Class,Paris to Hong Kong via Helsinki,May 2023,2.0,3.0,1.0,1.0,1.0,2.0,No,finnair,Paris,Hong Kong
Business,Economy Class,Heathrow to Helsinki,May 2023,3.0,3.0,1.0,1.0,1.0,1.0,No,finnair,Heathrow,Helsinki
Family Leisure,Economy Class,Helsinki to Miami,January 2023,3.0,3.0,2.0,2.0,3.0,4.0,No,finnair,Helsinki,Miami
Solo Leisure,Business Class,Doha to Stockholm,April 2023,3.0,3.0,3.0,5.0,4.0,3.0,Yes,finnair,Doha,Stockholm
Family Leisure,Economy Class,Helsinki to Bangkok,December 2022,3.0,1.0,1.0,1.0,1.0,2.0,No,finnair,Helsinki,Bangkok
Solo Leisure,Economy Class,Bangkok to Milan via Helsinki,April 2023,2.0,3.0,2.0,3.0,1.0,1.0,No,finnair,Bangkok,Milan
Solo Leisure,Economy Class,Hong Kong to Manchester via Helsinki,April 2023,1.0,1.0,1.0,1.0,1.0,1.0,No,finnair,Hong Kong,Manchester
Solo Leisure,Economy Class,Tokyo to Munich via Helsinki,April 2023,4.0,5.0,4.0,5.0,4.0,5.0,Yes,finnair,Tokyo,Munich
Solo Leisure,Business Class,Stockholm Arlanda to Doha via Helsinki,March 2023,4.0,5.0,3.0,3.0,3.0,3.0,Yes,finnair,Stockholm Arlanda,Doha
Family Leisure,Economy Class,Bangkok to Tallinn via Helsinki,March 2023,1.0,1.0,1.0,1.0,1.0,1.0,No,finnair,Bangkok,Tallinn
Couple Leisure,Business Class,London to Bangkok via Helsinki,February 2023,1.0,1.0,1.0,3.0,1.0,1.0,No,finnair,London,Bangkok
Solo Leisure,Economy Class,Helsinki-Vantaa to Jyväskylä,February 2023,5.0,5.0,4.0,1.0,5.0,5.0,Yes,finnair,Helsinki-Vantaa,Jyväskylä
Family Leisure,Economy Class,Mumbai to Helsinki,February 2023,2.0,2.0,2.0,2.0,1.0,2.0,No,finnair,Mumbai,Helsinki
Solo Leisure,Economy Class,Dublin to Lapland via Helsinki,October 2022,2.0,4.0,1.0,1.0,1.0,1.0,No,finnair,Dublin,Lapland
Couple Leisure,Economy Class,Mumbai to Finland,January 2023,2.0,1.0,3.0,3.0,1.0,2.0,No,finnair,Mumbai,Finland
Couple Leisure,Business Class,London to Hong Kong via Helsinki,December 2022,1.0,1.0,1.0,1.0,1.0,1.0,No,finnair,London,Hong Kong
Family Leisure,Business Class,Warsaw to Delhi via Helsinki,December 2022,1.0,3.0,1.0,3.0,3.0,1.0,No,finnair,Warsaw,Delhi
Solo Leisure,Economy Class,Doha to Helsinki,December 2022,5.0,5.0,2.0,4.0,3.0,3.0,Yes,finnair,Doha,Helsinki
Solo Leisure,Business Class,Stockholm to Doha,November 2022,5.0,5.0,5.0,5.0,4.0,4.0,Yes,finnair,Stockholm,Doha
Business,Premium Economy,Frankfurt to Philadelphia,December 2022,4.0,5.0,5.0,5.0,3.0,3.0,Yes,finnair,Frankfurt,Philadelphia
