City Name,Airport Name,Country
KABUL,KABUL,AFGHANISTAN
ANCHORAGE INTL,ANCHORAGE INTL,ALASKA
ANCHORAGE ELMENDORF,ELMENDORF,ALASKA
COLD BAY,COLD BAY,ALASKA
FAIRBANKS,FAIRBANKS INTL,ALASKA
SHEYMA,SHEYMA,ALASKA
TIRANA,RINAS,ALBANIA
ADRAR,TOUAT,ALGERIA
ALGIERS,HOUARI BOUMEDIENNE,ALGERIA
ANNABA,EL MELLAH,ALGERIA
CONSTANTINE,AIN-EL-BEY,ALGERIA
EL GOLEA,EL GOLEA,ALGERIA
GHARDAIA,GHARDAIA,ALGERIA
HASSI MESSAOUD,OUED IRARA,ALGERIA
IN SALAH,IN SALAH,ALGERIA
ORAN,ES SENIA,ALGERIA
TAMANRASSET,TAMANRASSET,ALGERIA
ZARAZAITINE,IN AMENAS,ALGERIA
LUANDA,LUANDA,ANGOLA
BUENOS AIRES,EZEIZA,ARGENTINA
COMODORO RIVADAVIA,COMODORO RIVADAVIA,ARGENTINA
CORDOBA,CORDOBA,ARGENTINA
MAR DE PLATA,MAR DE PLATA,ARGENTINA
ASCENSION,WIDEAWAKE,ASCENSION IS.
ADELAIDE,ADELAIDE INTL.,AUSTRALIA
ALICE SPRINGS,ALICE SPRINGS,AUSTRALIA
AVALON,AVALON,AUSTRALIA
BRISBANE,BRISBANE,AUSTRALIA
CAIRNS,CAIRNS,AUSTRALIA
CANBERRA,CANBERRA,AUSTRALIA
COOLANGATTA,COOLANGATTA,AUSTRALIA
DARWIN,DARWIN INTL.,AUSTRALIA
KARRATHA,DAMPIER,AUSTRALIA
KATHERINE,TINDAL,AUSTRALIA
MEEKATHARRA,MEEKATHARRA,AUSTRALIA
MELBOURNE,MELBOURNE INTL.,AUSTRALIA
MOUNT ISA,MOUNT ISA,AUSTRALIA
NORFOLK ISLAND,NORFOLK ISLAND,AUSTRALIA
PEARCE,PEARCE,AUSTRALIA
PERTH,PERTH INTL.,AUSTRALIA
PORT HEDLAND,PORT HEDLAND,AUSTRALIA
ROCKHAMPTON,ROCKHAMPTON,AUSTRALIA
SYDNEY,KINGFORD SMITH,AUSTRALIA
TOWNSVILLE,TOWNSVILLE,AUSTRALIA
INNSBRUCK,INNSBRUCK,AUSTRIA
KLAGENFURT,KLAGENFURT,AUSTRIA
LINZ,LINZ,AUSTRIA
SALZBURG,SALZBURG,AUSTRIA
VIENNA,SCHWECHAT,AUSTRIA
BAKU,BINA,AZERBAIJAN
LAJES,LAJES,AZORES
PONTA DELGARDO,PONTA DELGARDO,AZORES
SANTA MARIA,SANTA MARIA,AZORES
FREEPORT,FREEPORT,BAHAMAS
NASSAU,NASSAU INTL,BAHAMAS
BAHRAIN,BAHRAIN INTL,BAHRAIN
CHITTAGONG,CHITTAGONG,BANGLADESH
DHAKA TEZGAON,TEZGAON,BANGLADESH
DHAKA INTL,ZIA INTL.,BANGLADESH
BARBADOS,GRANTLY ADAMS INTL,BARBADOS
MINSK,MINSK-2,BELARUS
ANTWERP,DEURNE,BELGIUM
BRUSSELS,BRUSSELS NATIONAL,BELGIUM
CHARLEROI,BRUSSELS SOUTH,BELGIUM
LIEGE,BIERSET,BELGIUM
OSTEND,OSTEND,BELGIUM
BELIZE,PHILLIP S.W. GOLDSON INTL,BELIZE
COTONOU,CADJEHOUN,BENIN
BERMUDA,BERMUDA,BERMUDA
FRANCISTOWN,FRANCISTOWN,BOTSWANA
GABORONE NOTWANE,NOTWANE,BOTSWANA
GABORONE INTL,SERETSE KHAMA INTL.,BOTSWANA
GHANZI,GHANZI,BOTSWANA
SELEBI-PHIKWE,SELEBI-PHIKWE,BOTSWANA
BELO HORIZONTE,TRANCREDO NEVES,BRAZIL
BRASILIA,BRASILIA,BRAZIL
CAMPINAS,VIRACOPOS,BRAZIL
FERNANDO DE NOROHNA,FERNANDO DE NOROHNA,BRAZIL
FLORIANPOLIS,HERCILIO LUZ,BRAZIL
MACEIO,PALMARES,BRAZIL
NATAL,AUGUSTO SEVERO,BRAZIL
PORTO ALEGRE,SALGADO FILHO,BRAZIL
RECIFE,GUARARAPES,BRAZIL
RIO DE JANEIRO,GALEAO INTL,BRAZIL
SALVADOR,DOIS DE JULHO,BRAZIL
SAO JOSE DOS CAMPOS,SAO JOSE DOS CAMPOS,BRAZIL
SAO PAULO,GUARULHAS,BRAZIL
BURGAS,BURGAS,BULGARIA
SOFIA,SOFIA,BULGARIA
VARNA,VARNA,BULGARIA
BOBO-DIOULASSO,BOBO-DIOULASSO,BURKINA
OUAGADOUGOU,OUAGADOUGOU,BURKINA
BUJUMBURA,BUJUMBURA,BURUNDI
PHNOM-PENH,POCHENTONG,CAMBODIA
DOUALA,DOUALA,CAMEROON
GAROUA,GAROUA,CAMEROON
YAOUNDE,NSIMALEN,CAMEROON
ABBOTSFORD,ABBOTSFORD,CANADA
BAGOTVILLE,BAGOTVILLE,CANADA
CALGARY,CALGARY INTL,CANADA
CHURCHILL,CHURCHILL,CANADA
EDMONTON,EDMONTON INTL,CANADA
FREDERICTON,FREDERICTON,CANADA
GANDER,GANDER,CANADA
GOOSE,GOOSE,CANADA
HALIFAX,HALIFAX INTL,CANADA
HALIFAX,SHEARWATER,CANADA
HAMILTON,HAMILTON,CANADA
IQUALUIT,IQUALUIT,CANADA
KUUJJUAG,KUUJJUAG,CANADA
MONCTON,MONCTON,CANADA
MONT JOLI,MONT JOLI,CANADA
MONTREAL DORVAL,DORVAL,CANADA
MONTREAL MIRABEL,MIRABEL,CANADA
NORTH BAY,NORTH BAY,CANADA
OTTAWA,OTTAWA,CANADA
QUEBEC,QUEBEC,CANADA
REGINA,REGINA,CANADA
SASSKATOON,SASSKATOON,CANADA
SEPT ILES,SEPT ILES,CANADA
ST. JOHNS,ST. JOHNS,CANADA
STEPHENVILLE,STEPHENVILLE,CANADA
SYDNEY,SYDNEY,CANADA
THOMPSON,THOMPSON,CANADA
TORONTO,TORONTO,CANADA
URANIUM CITY,URANIUM CITY,CANADA
VAL D'OR,VAL D'OR,CANADA
VANCOUVER,VANCOUVER,CANADA
WHITEHOUSE,WHITEHOUSE,CANADA
WINDSOR,WINDSOR,CANADA
WINNIPEG,WINNIPEG,CANADA
YARMOUTH,YARMOUTH,CANADA
YELLOWKNIFE,YELLOWKNIFE,CANADA
FUERTEVENTURA,FUERTEVENTURA,CANARY IS.
GRAN CANARIA,LAS PALMAS,CANARY IS.
LA PALMA,LA PALMA,CANARY IS.
LANZAROTE,LANZAROTE,CANARY IS.
TENERIFE NORTE,NORTE,CANARY IS.
TENERIFE REINA SOFIA,REINA SOFIA,CANARY IS.
SAL,AMILCAR CABRAI,CAPE VERDE REPUBLIC
GRAND CAYMAN,OWEN ROBERTS,CAYMAN ISLANDS
BAMGUI,M'POKO,CENTRAL AFRICAN REPUBLIC
CONCEPCION,CARRIEL SUR,CHILE
PUNTA ARENAS,PRES. IBANEZ,CHILE
SANTIAGO,A M BENITEZ,CHILE
BEIJING,CAPITAL,CHINA
CHENGDU,SHUANGLIU,CHINA
GUANGZHOU/CANTON,BAIYUN,CHINA
KUNMING,WUJIABA,CHINA
LANZHOU,ZHONGCHUAN,CHINA
SHANGHAI,HONGQIAC,CHINA
SHENZHEN,HUANGTIAN,CHINA
TAIYUAN,WUSU,CHINA
TIANJIN,ZHANGGUIZHUANG,CHINA
URUMQI,DIWOPU,CHINA
XI'AN,XIANYANG,CHINA
BARRANQUILLA,CORTISSOZ,COLOMBIA
BOGOTA,ELDORADO,COLOMBIA
CALI,ALFONSO BONILLA ARAGON,COLOMBIA
CARTEGENA,R. NUNEZ,COLOMBIA
SAN ANDRES,SAN ANDRES,COLOMBIA
DZAOUDZI,PAMANZI,COMORES & MAYOTTE ISLANDS
MORONI HAHAIA,HAHAIA,COMORES & MAYOTTE ISLANDS
MORONI ICONI,ICONI,COMORES & MAYOTTE ISLANDS
BRAZZAVILLE,MAYA MAYA,CONGO
POINTE NOIRE,POINTE NOIRE,CONGO
DUBROVNIK,DUBROVNIK,CROATIA
RIJEKA,KRK,CROATIA
SPLIT,SPLIT,CROATIA
ZADAR,ZADAR,CROATIA
ZAGREB,ZAGREB,CROATIA
CAMAGUEY,IGNACIO AGRAMONTE,CUBA
CAYO LARGO DEL SUR,CAYO LARGO DEL SUR,CUBA
HAVANA,JOSE MARTI INTL,CUBA
VARADERO,VARADERO,CUBA
LARNACA,LARNACA,CYPRUS
PAPHOS,PAPHOS INTL,CYPRUS
PRAGUE,RUZYNE,CZECH REPUBLIC
AALBORG,AALBORG,DENMARK
BILLUND,BILLUND,DENMARK
BORNHOLM,RONNE,DENMARK
COPENHAGEN KASTRUP,KASTRUP,DENMARK
COPENHAGEN ROSKILDE,ROSKILDE,DENMARK
ESBJERG,ESBJERG,DENMARK
ODENSE,ODENSE,DENMARK
TIRSTRUP,TIRSTRUP,DENMARK
DJIBOUTI,AMBOULI,DJIBOUTI
PUERTO PLATA,PUERTO PLATA,DOMINICAN REPUBLIC
PUNTA CANA,PUNTA CANA,DOMINICAN REPUBLIC
SANTO DOMINGO,DE LAS AMERICAS,DOMINICAN REPUBLIC
GUAYAQUIL,SIMON BOLIVAR,ECUADOR
ALEXANDRIA,ALEXANDRIA,EGYPT
ASWAN,ASWAN,EGYPT
CAIRO,CAIRO INTL.,EGYPT
HURGHADA,HURGHADA,EGYPT
LUXOR,LUXOR,EGYPT
PORT SAID,PORT SAID,EGYPT
RAS EL NAKAB,RAS EL NAKAB,EGYPT
RAS NASRANI,SHARM EL-SHEIKH,EGYPT
SAN SALVADOR,EL SALVADOR INTL,EL SALVADOR
ADDIS ABABA,BOLE INTL.,ETHIOPIA
ASMARA,ASMARA,ETHIOPIA
DIRE DAWA,ABA TENNA DEJAZNATCH YILMA,ETHIOPIA
HELSINKI MALMI,MALMI,FINLAND
HELSINKI VANTAA,VANTAA,FINLAND
IVALO,IVALO,FINLAND
MARIEHAMN,MARIEHAMN,FINLAND
OULU,OULU,FINLAND
PORI,PORI,FINLAND
ROVANIEMI,ROVANIEMI,FINLAND
TAMPERE,PIRKKALA,FINLAND
TURKU,TURKU,FINLAND
ABBEVILLE,ABBEVILLE,FRANCE
AGLEN,LA GARENNE,FRANCE
AJACCIO,DELL'ORO,FRANCE
ANGERS,AVRILLE,FRANCE
BASLE,MULHOUSE,FRANCE
BASTIA,PORETTA,FRANCE
BERGERAC,ROUMANIERE,FRANCE
BEUVAIS,TILLE,FRANCE
BEZIERS,VIAS,FRANCE
BIARRITZ/BAYONE,ANGLET,FRANCE
BORDEAUX,MERIGNAC,FRANCE
BREST,GUIPAVAS,FRANCE
BRETIGNY-SUR-ORGE,BRETIGNY-SUR-ORGE,FRANCE
CAEN,CARPIQUET,FRANCE
CAHORS,LALBENQUE,FRANCE
CALAIS-DUNKERQUE,CALAIS-DUNKERQUE,FRANCE
CALVI,ST. CATHERINE,FRANCE
CAMBRAI,EPINOY,FRANCE
CANNES,MANDELIEU,FRANCE
CARCASSONNE,SALVAZA,FRANCE
CHAMBERY,AIX LES BAINS,FRANCE
CHATEAUROUX,DEOLS,FRANCE
CHERBOURG,MAUPERTUS,FRANCE
CLERMOUNT FERRAND,AULNAT,FRANCE
COLMAR,HOUSSEN,FRANCE
DEAUVILLE,ST. GATIEN,FRANCE
DIEPPE,ST. AUBIN,FRANCE
DIJON,LONGVIC,FRANCE
DINARD,PLEURTUIT-ST. MALO,FRANCE
GRENOBLE,ST. GEOIRS,FRANCE
HYERES,LE PALYVESTRE,FRANCE
LA ROCHELLE,LALEU,FRANCE
LANNION,LANNION,FRANCE
LE HAVRE,OCTEVILLE,FRANCE
LE MANS,ARNAGE,FRANCE
LE TOUQUET,PARIS PLAGE,FRANCE
LILLE,LESQUIN,FRANCE
LIMOGES,BELLEGARDE,FRANCE
LYON,BRON,FRANCE
MARSEILLE,PROVENCE,FRANCE
METZ,NANCY LORRAINE,FRANCE
MONTPELLIER,FREJORGUES,FRANCE
MORLAIX,PLOUJEAN,FRANCE
NANCY,ESSEY,FRANCE
NANTES ATLANTIQUE,NANTES ATLANTIQUE,FRANCE
PARIS CHARLES DE GAULLE,CHARLES-DE-GAULLE,FRANCE
PARIS LE BOURGET,LE BOURGET,FRANCE
PARIS ORLY,ORLY,FRANCE
PAU PYRENEES,PAU PYRENEES,FRANCE
PERIGUEUX,BASSILLAC,FRANCE
PERPIGNAN,RIVESALTES,FRANCE
PONTOISE,CORMEILLES EN VEXIN,FRANCE
QUIMPER,PLUGUFFAN,FRANCE
REIMS,CHAMPAGNE,FRANCE
RENNES,ST. JACQUES,FRANCE
RODEZ,MARCILLAC,FRANCE
ROUEN,VALLEE DE SEINE,FRANCE
ST. BRIEUC,ARMOR,FRANCE
ST. ETTIENNE,BOUTHEON,FRANCE
ST. NAZAIRE,MONTOIR,FRANCE
ST. YAN,ST. YAN,FRANCE
STRASBOURG,ENTZHEIM,FRANCE
TARBES,OSSUN-LOURDES,FRANCE
TOULOUSE BLAGNAC,BLAGNAC,FRANCE
TOULOUSE FRANCAZAL,FRANCAZAL,FRANCE
TOURS,ST. SYMPHORIEN,FRANCE
TOUSSUS LE NOBLE,TOUSSUS LE NOBLE,FRANCE
TROYES,BARBEREY,FRANCE
VALENCE,CHABEUIL,FRANCE
FRANCEVILLE,MVENGE,GABON
LIBREVILLE,LIBREVILLE,GABON
PORT GENTIL,PORT GENTIL,GABON
BANJUL,BANJUL,GAMBIA
TBILISI,NOVOALEKSEEVKA,GEORGIA
BERLIN GATOW,GATOW,GERMANY
BERLIN SCHOENEFIELD,SCHOENEFIELD,GERMANY
BERLIN TEGEL,TEGEL,GERMANY
BERLIN TEMPLEHOF,TEMPLEHOF,GERMANY
BRAUNSWEIG,BRAUNSWEIG,GERMANY
BREMEN,BREMEN,GERMANY
COLOGNE-BONN,COLOGNE-BONN,GERMANY
DORTMUND,WICKEDE,GERMANY
DRESDEN,DRESDEN,GERMANY
DUSSELDORF,DUSSELDORF,GERMANY
ERFURT,ERFURT,GERMANY
FRANKFURT,MAIN,GERMANY
FRIEDRICHSHAFEN,FRIEDRICHSHAFEN,GERMANY
HAMBURG FINKENWERDER,FINKENWERDER,GERMANY
HAMBURG,HAMBURG,GERMANY
HANNOVER,HANNOVER,GERMANY
INGOLSTADT,INGOLSTADT,GERMANY
KASSEL-CALDEN,KASSEL-CALDEN,GERMANY
