Type_Of_Traveller,Seat_Type,Route,Date_Flown,Seat_Comfort,Staff_Service,F&B,Inflight_Entertainment,Ground_Service,Value_For_Money,Recommended,Airlines
Couple Leisure,Economy Class,Paris to Hong Kong via Helsinki,May 2023,2.0,3.0,1.0,1.0,1.0,2.0,Recommendedno,finnair
Business,Economy Class,Heathrow to Helsinki,May 2023,3.0,3.0,,,1.0,1.0,Recommendedno,finnair
Family Leisure,Economy Class,Helsinki to Miami,January 2023,3.0,3.0,2.0,2.0,3.0,4.0,Recommendedno,finnair
Solo Leisure,Business Class,Doha to Stockholm,April 2023,3.0,3.0,3.0,5.0,4.0,3.0,Recommendedyes,finnair
Family Leisure,Economy Class,Helsinki to Bangkok,December 2022,3.0,1.0,,,1.0,2.0,Recommendedno,finnair
Solo Leisure,Economy Class,Bangkok to Milan via Helsinki,April 2023,2.0,3.0,2.0,3.0,1.0,1.0,Recommendedno,finnair
Solo Leisure,Economy Class,Hong Kong to Manchester via Helsinki,April 2023,,,,,,1.0,Recommendedno,finnair
Solo Leisure,Economy Class,Tokyo to Munich via Helsinki,April 2023,4.0,5.0,4.0,5.0,4.0,5.0,Recommendedyes,finnair
Solo Leisure,Business Class,Stockholm Arlanda to Doha via Helsinki,March 2023,4.0,5.0,3.0,3.0,3.0,3.0,Recommendedyes,finnair
Family Leisure,Economy Class,Bangkok to Tallinn via Helsinki,March 2023,1.0,1.0,1.0,1.0,1.0,1.0,Recommendedno,finnair
Couple Leisure,Business Class,London to Bangkok via Helsinki,February 2023,1.0,1.0,1.0,3.0,1.0,1.0,Recommendedno,finnair
Solo Leisure,Economy Class,Helsinki-Vantaa to Jyväskylä,February 2023,5.0,5.0,4.0,,5.0,5.0,Recommendedyes,finnair
Family Leisure,Economy Class,Mumbai to Helsinki,February 2023,2.0,2.0,2.0,2.0,1.0,2.0,Recommendedno,finnair
Solo Leisure,Economy Class,Dublin to Lapland via Helsinki,October 2022,2.0,4.0,,,1.0,1.0,Recommendedno,finnair
Couple Leisure,Economy Class,Mumbai to Finland,January 2023,2.0,1.0,3.0,3.0,1.0,2.0,Recommendedno,finnair
Couple Leisure,Business Class,London to Hong Kong via Helsinki,December 2022,1.0,1.0,1.0,1.0,1.0,1.0,Recommendedno,finnair
Family Leisure,Business Class,Warsaw to Delhi via Helsinki,December 2022,1.0,3.0,1.0,3.0,3.0,1.0,Recommendedno,finnair
Solo Leisure,Economy Class,Doha to Helsinki,December 2022,5.0,5.0,2.0,4.0,3.0,3.0,Recommendedyes,finnair
Solo Leisure,Business Class,Stockholm to Doha,November 2022,5.0,5.0,5.0,5.0,4.0,4.0,Recommendedyes,finnair
Business,Premium Economy,Frankfurt to Philadelphia,December 2022,4.0,5.0,5.0,5.0,3.0,3.0,Recommendedyes,finnair
Couple Leisure,Economy Class,Bangkok to Vilnius via Helsinki,November 2022,1.0,1.0,1.0,1.0,1.0,1.0,Recommendedno,finnair
Solo Leisure,Economy Class,Hong Kong to Helsinki,October 2022,5.0,3.0,1.0,4.0,5.0,3.0,Recommendedyes,finnair
Solo Leisure,Business Class,Bangkok to Helsinki,November 2022,4.0,5.0,4.0,4.0,4.0,4.0,Recommendedyes,finnair
Solo Leisure,Business Class,Bangkok to Barcelona via Helsinki,November 2022,3.0,1.0,1.0,3.0,2.0,1.0,Recommendedno,finnair
Solo Leisure,Business Class,Doha to Stockholm,November 2022,3.0,4.0,2.0,4.0,2.0,3.0,Recommendedyes,finnair
Couple Leisure,Business Class,Tokyo to Helsinki,October 2022,4.0,4.0,4.0,3.0,5.0,4.0,Recommendedyes,finnair
Couple Leisure,Economy Class,Los Angeles to Helsinki,February 2022,1.0,1.0,1.0,1.0,1.0,1.0,Recommendedno,finnair
Business,Business Class,London Heathrow to Helsinki,October 2022,2.0,5.0,1.0,,1.0,1.0,Recommendedno,finnair
Solo Leisure,Economy Class,Oslo to Dallas Ft Worth via Helsinki,October 2022,3.0,4.0,3.0,5.0,1.0,4.0,Recommendedno,finnair
Family Leisure,Economy Class,Tallinn to Helsinki,October 2022,1.0,1.0,1.0,1.0,1.0,1.0,Recommendedno,finnair
